A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,initialized,0,,1544310199205
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,0,"[1024, 771]",1544310199205
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,4360,"[1920, 1080]",1544310203565
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,focus,948869,off,1544311152434
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,217,"[1920, 1079]",1544311152651
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,focus,209030,on,1544311361681
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,216,"[1920, 1080]",1544311361897
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,focus,471895,off,1544311833792
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,220,"[1920, 1079]",1544311834012
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,focus,2344733,on,1544314178745
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,318,"[1920, 1080]",1544314179063
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,focus,1780240,off,1544315959303
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,261,"[1920, 1079]",1544315959564
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,focus,2302,on,1544315961866
A17D6BK59S31BM:3X65QVEQI2JDZJDCF3CPR5PYOVXCLY,window_resize,231,"[1920, 1080]",1544315962097
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,initialized,0,,1544313889147
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,window_resize,0,"[1920, 938]",1544313889147
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,window_resize,4342,"[1920, 1080]",1544313893489
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,window_resize,105929,"[1920, 938]",1544313999418
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,1008,off,1544314000426
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,4145,on,1544314004571
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,651264,off,1544314655835
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,11516,on,1544314667351
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,2702,off,1544314670053
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,2799,on,1544314672852
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,25834,off,1544314698686
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,10364,on,1544314709050
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,230888,off,1544314939938
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,3507,on,1544314943445
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,1384462,off,1544316327907
A3B8DP6KHMP3OS:3SKRO2GZ73NISALWE6B4V9TSVYC1K5,focus,24235,on,1544316352142
A2WT6FV92737W6:3UN61F00HYL33WZA5DMDZBSN27M5RX,initialized,0,,1544315882175
A2WT6FV92737W6:3UN61F00HYL33WZA5DMDZBSN27M5RX,window_resize,0,"[1152, 647]",1544315882175
A2WT6FV92737W6:3UN61F00HYL33WZA5DMDZBSN27M5RX,window_resize,13312,"[1152, 720]",1544315895487
